Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Accipitridae,Accipiter bicolor,Peuquito,Bicolored Hawk,LC,LC,X
Scolopacidae,Actitis macularius,Playero manchado,Spotted Sandpiper,LC,,NR
Apodidae,Aeronautes andecolus,Vencejo chico,Andean Swift,LC,,X
Icteridae,Agelasticus thilius,Trile,Yellow-winged Blackbird,LC,,X
Tyrannidae,Agriornis albicauda,Mero de la puna,White-tailed Shrike-Tyrant,VU,VU,X
Tyrannidae,Agriornis lividus,Mero grande,Great Shrike-Tyrant,LC,,X
Tyrannidae,Agriornis micropterus,Mero de Tarapacá,Gray-bellied Shrike-Tyrant,LC,,X
Tyrannidae,Agriornis montanus,Mero gaucho,Black-billed Shrike-Tyrant,LC,,X
Tyrannidae,Agriornis murinus,Mero chico,Lesser Shrike-Tyrant,LC,,E
Hirundinidae,Alopochelidon fucata,Golondrina de cabeza rojiza,Tawny-headed Swallow,LC,,E
Tyrannidae,Anairetes fernandezianus,Cachudito de Juan Fernández,Juan Fernandez Tit-Tyrant,NT,EN-R,X(e)
Tyrannidae,Anairetes flavirostris,Cachudito del norte,Yellow-billed Tit-Tyrant,LC,,X
Tyrannidae,Anairetes parulus,Cachudito común,Tufted Tit-Tyrant,LC,,X
Tyrannidae,Anairetes reguloides,Cachudito de cresta blanca,Pied-crested Tit-Tyrant,LC,EN,X
Anatidae,Anas bahamensis,Pato gargantillo,White-cheeked Pintail,LC,LC,X
Anatidae,Anas flavirostris,Pato jergón chico,Yellow-billed Teal,LC,,X
Anatidae,Anas georgica,Pato jergón grande,Yellow-billed Pintail,LC,,X
Laridae,Anous albivitta,Gaviotín de San Ambrosio,Gray Noddy,LC,,X
Laridae,Anous minutus,Gaviotín de corona blanca,Black Noddy,LC,,X
Laridae,Anous stolidus,Gaviotín de San Félix,Brown Noddy,LC,VU,X
Motacillidae,Anthus correndera,Bailarín chico común,Correndera Pipit,LC,,X
Motacillidae,Anthus hellmayri,Bailarín chico pálido,Hellmayr's Pipit,LC,,X
Motacillidae,Anthus peruvianus,Bailarín chico peruano,Peruvian Pipit,LC,,X
Furnariidae,Aphrastura masafuerae,Rayadito de Masafuera,Masafuera Rayadito,CR,CR,X(e)
Furnariidae,Aphrastura spinicauda,Rayadito,Thorn-tailed Rayadito,LC,,X
Procellariidae,Aphrodroma brevirostris,Petrel de Kerguelen,Kerguelen Petrel,LC,,E
Spheniscidae,Aptenodytes forsteri,Pingüino emperador,Emperor Penguin,NT,,E
Spheniscidae,Aptenodytes patagonicus,Pingüino rey,King Penguin,LC,,X
Aramidae,Aramus guarauna,Carau,Limpkin,LC,,E
Ardeidae,Ardea alba,Garza grande,Great Egret,LC,,X
Ardeidae,Ardea cocoi,Garza cuca,Cocoi Heron,LC,LC,X
Procellariidae,Ardenna bulleri,Fardela de dorso gris,Buller's Shearwater,VU,,NR
Procellariidae,Ardenna carneipes,Fardela de patas pálidas,Flesh-footed Shearwater,NT,,E
Procellariidae,Ardenna creatopus,Fardela blanca,Pink-footed Shearwater,VU,EN,X
Procellariidae,Ardenna gravis,Fardela capirotada,Great Shearwater,LC,,NR
Procellariidae,Ardenna grisea,Fardela negra,Sooty Shearwater,NT,NT,X
Procellariidae,Ardenna pacifica,Fardela del Pacífico,Wedge-tailed Shearwater,LC,,X
Scolopacidae,Arenaria interpres,Playero vuelvepiedras,Ruddy Turnstone,LC,,NR
Strigidae,Asio flammeus,Nuco,Short-eared Owl,LC,LC,X
Furnariidae,Asthenes anthoides,Canastero del sur,Austral Canastero,LC,,X
Furnariidae,Asthenes dorbignyi,Canastero del norte,Creamy-breasted Canastero,LC,,X
Furnariidae,Asthenes modesta,Canstero chico,Cordilleran Canastero,LC,,X
Furnariidae,Asthenes pudibunda,Canastero de las quebradas,Canyon Canastero,LC,,X
Furnariidae,Asthenes pyrrholeuca,Canastero de cola larga,Sharp-billed Canastero,LC,,X
Strigidae,Athene cunicularia,Pequén,Burrowing Owl,LC,,X
Thinocoridae,Attagis gayi,Perdicita cordillerana,Rufous-bellied Seedsnipe,LC,LC,X
Thinocoridae,Attagis malouinus,Perdicita austral,White-bellied Seedsnipe,LC,,X
Scolopacidae,Bartramia longicauda,Batitú,Upland Sandpiper,LC,LC,NR
Strigidae,Bubo virginianus,Tucúquere,Great Horned Owl,LC,,X
Ardeidae,Bubulcus ibis,Garza bueyera,Cattle Egret,LC,,X
Burhinidae,Burhinus superciliaris,Chorlo cabezón,Peruvian Thick-knee,LC,,X
Accipitridae,Buteo albigula,Aguilucho chico,White-throated Hawk,LC,NT,X
Accipitridae,Buteo swainsoni,Aguilucho langostero,Swainson's Hawk,LC,,E
Accipitridae,Buteo ventralis,Aguilucho de cola rojiza,Rufous-tailed Hawk,VU,VU,X
Ardeidae,Butorides striata,Garcita azulada,Striated Heron,LC,,E
Scolopacidae,Calidris acuminata,Playero acuminado,Sharp-tailed Sandpiper,VU,,E
Scolopacidae,Calidris alba,Playero blanco,Sanderling,LC,,NR
Scolopacidae,Calidris bairdii,Playero de Baird,Baird's Sandpiper,LC,,NR
Scolopacidae,Calidris canutus,Playero ártico,Red Knot,NT,EN,NR
Scolopacidae,Calidris ferruginea,Playero zarapito,Curlew Sandpiper,NT,,E
Scolopacidae,Calidris fuscicollis,Playero de lomo blanco,White-rumped Sandpiper,LC,,NR
Scolopacidae,Calidris himantopus,Playero de patas largas,Stilt Sandpiper,LC,,NR
Scolopacidae,Calidris mauri,Playero occidental,Western Sandpiper,LC,,NR
Scolopacidae,Calidris melanotos,Playero pectoral,Pectoral Sandpiper,LC,,NR
Scolopacidae,Calidris minutilla,Playero enano,Least Sandpiper,LC,,NR
Scolopacidae,Calidris pusilla,Playero semipalmado,Semipalmated Sandpiper,NT,,NR
Scolopacidae,Calidris subruficollis,Playero canela,Buff-breasted Sandpiper,NT,,E
Scolopacidae,Calidris virgata,Playero de las rompientes,Surfbird,LC,,NR
Odontophoridae,Callipepla californica,Codorniz,California Quail,LC,,IN
Picidae,Campephilus magellanicus,Carpintero negro,Magellanic Woodpecker,LC,NT,X
Falconidae,Caracara plancus,Traro,Crested Caracara,LC,,X
Parulidae,Cardellina canadensis,Reinita de Canadá,Canada Warbler,LC,,E
Tyrannidae,Casiornis rufus,Burlisto castaño,Rufous Casiornis,LC,,E
Thraupidae,Catamenia analis,Semillero,Band-tailed Seedeater,LC,,X
Cathartidae,Cathartes aura,Jote de cabeza colorada,Turkey Vulture,LC,,X
Turdidae,Catharus fuscescens,Zorzalito dorsirrojo,Veery,LC,,E
Turdidae,Catharus ustulatus,Zorzalito de Swainson,Swainson's Thrush,LC,,E
Apodidae,Chaetura pelagica,Vencejo de chimenea,Chimney Swift,VU,,NR
Charadriidae,Charadrius alticola,Chorlo de la puna,Puna Plover,LC,,X
Charadriidae,Charadrius collaris,Chorlo de collar,Collared Plover,LC,NT,X
Charadriidae,Charadrius falklandicus,Chorlo de doble collar,Two-banded Plover,LC,,X
Charadriidae,Charadrius modestus,Chorlo chileno,Rufous-chested Dotterel,LC,LC,X
Charadriidae,Charadrius nivosus,Chorlo nevado,Snowy Plover,NT,VU,X
Charadriidae,Charadrius semipalmatus,Chorlo semipalmado,Semipalmated Plover,LC,,NR
Charadriidae,Charadrius vociferus,Chorlo gritón,Killdeer,LC,,X
Charadriidae,Charadrius wilsonia,Chorlo de pico grueso,Wilson's Plover,LC,,E
Anhimidae,Chauna torquata,Chajá,Southern Screamer,LC,,E
Chionidae,Chionis albus,Paloma antártica,Snowy Sheathbill,LC,,NR
Laridae,Chlidonias niger,Gaviotín negro,Black Tern,LC,,E
Anatidae,Chloephaga hybrida,Caranca,Kelp Goose,LC,VU,X
Anatidae,Chloephaga picta,Caiquén,Upland Goose,LC,,X
Anatidae,Chloephaga poliocephala,Canquén com√∫n,Ashy-headed Goose,LC,,X
Anatidae,Chloephaga rubidiceps,Canquén colorado,Ruddy-headed Goose,LC,EN,X
Alcedinidae,Chloroceryle americana,Martín pescador chico,Green Kingfisher,LC,,E
Trochilidae,Chlorostilbon lucidus,Picaflor de pico rojo,Glittering-bellied Emerald,LC,,E
Caprimulgidae,Chordeiles acutipennis,Gallina ciega peruana,Lesser Nighthawk,LC,,E
Caprimulgidae,Chordeiles minor,Gallina ciega boreal,Common Nighthawk,LC,,E
Caprimulgidae,Chordeiles nacunda,Ñacundá,Nacunda Nighthawk,LC,,E
Laridae,Chroicocephalus cirrocephalus,Gaviota de capucho gris,Gray-hooded Gull,LC,,NR
Laridae,Chroicocephalus maculipennis,Gaviota cáhuil,Brown-hooded Gull,LC,,X
Laridae,Chroicocephalus philadelphia,Gaviota de Bonaparte,Bonaparte's Gull,LC,,E
Laridae,Chroicocephalus serranus,Gaviota andina,Andean Gull,LC,LC,X
Ciconiidae,Ciconia maguari,Pillo,Maguari Stork,LC,,E
Furnariidae,Cinclodes albiventris,Churrete de alas crema,Cream-winged Cinclodes,LC,,X
Furnariidae,Cinclodes antarcticus,Churrete austral,Blackish Cinclodes,NT,,X
Furnariidae,Cinclodes atacamensis,Churrete de alas blancas,White-winged Cinclodes,LC,,X
Furnariidae,Cinclodes fuscus,Churrete acanelado,Buff-winged Cinclodes,LC,,X
Furnariidae,Cinclodes nigrofumosus,Churrete costero,Seaside Cinclodes,LC,,X(e)
Furnariidae,Cinclodes oustaleti,Churrete chico,Gray-flanked Cinclodes,LC,,X
Furnariidae,Cinclodes oustaleti baeckstroemii,Churrete chico de masafuera,,,VU,X(e)
Furnariidae,Cinclodes oustaleti hornensis,,,,,X
Furnariidae,Cinclodes oustaleti oustaleti,,,,,X
Furnariidae,Cinclodes patagonicus,Churrete patagónico,Dark-bellied Cinclodes,LC,,X
Accipitridae,Circus buffoni,Vari huevetero,Long-winged Harrier,LC,,E
Accipitridae,Circus cinereus,Vari ceniciento,Cinereous Harrier,LC,,X
Troglodytidae,Cistothorus platensis,Chercán de las vegas,Grass Wren,LC,,X
Tyrannidae,Cnemarchus rufipennis,Birro gris,Rufous-webbed Bush-Tyrant,LC,,X
Cuculidae,Coccyzus americanus,Cuclillo de pico amarillo,Yellow-billed Cuckoo,LC,,E
Cuculidae,Coccyzus melacoryphus,Cuclillo de pico negro,Dark-billed Cuckoo,LC,,E
Picidae,Colaptes pitius,Pitio austral,Chilean Flicker,LC,,X
Picidae,Colaptes rupicola,Pitio del norte,Andean Flicker,LC,,X
Trochilidae,Colibri coruscans,Picaflor azul,Sparkling Violetear,LC,,X
Tyrannidae,Colorhamphus parvirostris,Viudita,Patagonian Tyrant,LC,,X
Columbidae,Columba livia,Paloma doméstica,Rock Pigeon,LC,,IN
Columbidae,Columbina cruziana,Tortolita quiguagua,Croaking Ground Dove,LC,,X
Columbidae,Columbina picui,Tortolita cuyana,Picui Ground Dove,LC,,X
Columbidae,Columbina talpacoti,Tortolita rojiza,Ruddy Ground Dove,LC,,E
Thraupidae,Conirostrum binghami,Comesebo gigante,Giant Conebill,NT,,X
Thraupidae,Conirostrum cinereum,Comesebo chico,Cinereous Conebill,LC,,X
Thraupidae,Conirostrum tamarugense,Comesebo de los tamarugales,Tamarugo Conebill,LC,EN,X
Tyrannidae,Contopus sordidulus,Pibí occidental,Western Wood-Pewee,LC,,E
Cathartidae,Coragyps atratus,Jote de cabeza negra,Black Vulture,LC,,X
Anatidae,Coscoroba coscoroba,Cisne coscoroba,Coscoroba Swan,LC,LC,X
Laridae,Creagrus furcatus,Gaviota de las Galápagos,Swallow-tailed Gull,LC,,NR
Cuculidae,Crotophaga ani,Matacaballos de pico liso,Smooth-billed Ani,LC,,E
Cuculidae,Crotophaga sulcirostris,Matacaballos,Groove-billed Ani,LC,,X
Icteridae,Curaeus curaeus,Tordo,Austral Blackbird,LC,,X
Psittacidae,Cyanoliseus patagonus,Tricahue,Burrowing Parakeet,LC,"EN(III-IV), VU(resto distribucion)",X
